% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
07840.000  -44.80   50.91
07860.000  -45.07   51.18
07880.000  -45.01   48.94
07900.000  -45.00   50.18
07920.000  -45.28   51.90
07940.000  -45.13   51.62
07960.000  -45.02   51.39
07980.000  -45.02   51.30
08000.000  -45.07   50.91
08020.000  -45.15   50.94
08040.000  -45.13   51.93
08060.000  -45.03   51.32
08080.000  -44.94   50.72
08100.000  -44.88   50.54
08120.000  -44.84   50.67
08140.000  -44.84   50.47
08160.000  -45.01   50.91
08180.000  -44.86   50.28
08200.000  -45.29   50.57
08220.000  -45.01   49.59
08240.000  -44.79   48.65
08260.000  -44.76   49.26
08280.000  -44.54   49.43
08300.000  -44.45   49.40
08320.000  -44.30   48.75
% Warning: sampling overrun detected
08340.000  -44.20   48.17
08360.000  -44.07   46.98
08380.000  -44.03   46.53
% Warning: sampling overrun detected
08400.000  -44.18   46.85
08420.000  -44.68   47.92
08440.000  -44.50   46.17
08460.000  -44.23   45.42
08480.000  -44.02   45.53
08500.000  -44.00   45.68
08520.000  -44.10   45.74
08540.000  -43.85   45.15
08560.000  -43.65   45.36
% Warning: sampling overrun detected
08580.000  -43.36   45.49
08600.000  -43.18   45.66
08620.000  -43.02   45.64
08640.000  -42.83   45.49
08660.000  -42.61   45.42
08680.000  -42.88   45.50
08700.000  -42.69   45.40
08720.000  -42.63   45.15
08740.000  -42.68   44.59
08760.000  -42.73   44.57
08780.000  -42.75   45.14
08800.000  -43.27   46.90
08820.000  -43.31   47.22
08840.000  -43.05   46.99
08860.000  -42.88   46.74
08880.000  -42.71   46.68
08900.000  -42.49   46.19
08920.000  -42.47   46.43
08940.000  -42.47   47.22
08960.000  -42.49   47.94
08980.000  -42.35   48.12
09000.000  -42.24   48.18
09020.000  -42.16   48.22
09040.000  -42.31   49.27
09060.000  -42.25   49.06
09080.000  -42.25   48.82
09100.000  -42.26   49.35
09120.000  -42.30   49.92
09140.000  -42.25   50.08
09160.000  -42.22   50.66
09180.000  -42.46   51.33
09200.000  -42.45   51.71
09220.000  -42.28   52.05
09240.000  -42.19   52.31
09260.000  -42.15   52.68
09280.000  -42.08   52.85
09300.000  -42.07   53.16
09320.000  -42.09   53.42
09340.000  -42.15   53.30
09360.000  -42.14   53.66
09380.000  -42.41   54.47
09400.000  -42.36   53.72
09420.000  -42.31   53.23
09440.000  -42.25   52.93
09460.000  -42.22   52.47
09480.000  -42.22   52.02
09500.000  -42.32   51.54
09520.000  -42.51   51.31
09540.000  -42.37   50.23
09560.000  -42.26   49.45
09580.000  -42.18   48.99
09600.000  -42.07   48.71
09620.000  -42.07   49.00
09640.000  -42.08   49.53
09660.000  -42.05   49.79
09680.000  -42.05   49.98
09700.000  -42.02   50.12
09720.000  -41.98   50.00
09740.000  -41.89   49.24
09760.000  -41.80   48.50
% Warning: sampling overrun detected
